"","logFC","AveExpr","t","P.Value","adj.P.Val","B","type"
"PF3D7_0526600",12.7784848643335,9.49179648816581,16.6855518478928,0.0000171003491901168,0.0000437970968708897,3.93316088745526,"Up"
"PF3D7_0214300",11.5153188124654,9.94064950564959,18.2457741781516,0.000011118044532518,0.0000331357759307942,4.38964025082665,"Up"
"PF3D7_1404000",8.97433271087596,9.43247484007018,8.28252473825474,0.000469323299039463,0.000714580039758246,0.211845795698364,"Up"
"PF3D7_1231800",8.54070950505033,11.8108627943125,2.63317149519296,0.0474574779063762,0.0551500110194711,-5.08648712704959,"Stable"
"PF3D7_1423000",8.25080022583397,10.3759095643533,8.59245273215776,0.000396152667023185,0.000611350853092559,0.407633477849185,"Up"
"PF3D7_0931300",8.10892774185876,10.1582130153422,2.72510460216398,0.0425762019930891,0.0498914181656469,-4.96698063759873,"Up"
"PF3D7_0613600",7.56340448660771,8.64458810025982,2.19670128159953,0.0807300680385875,0.0908587477739604,-5.6618044227402,"Stable"
"PF3D7_0712300",6.76343407446177,7.69425980343649,1.82478581958544,0.129027706400594,0.141032084847228,-6.15201120426418,"Stable"
"PF3D7_0525000",6.50689470864736,8.93693222636059,1.74490118070771,0.142860507029412,0.154391088012201,-6.2555957287842,"Stable"
"PF3D7_1217500",6.40709520342728,11.0729164545982,3.33990040353329,0.0213110301174744,0.0263100920975735,-4.19339180883536,"Up"
"PF3D7_1328000",6.02530277097746,11.0982019719449,1.81095266204789,0.131321192070147,0.143109449886139,-6.17001544511018,"Stable"
"PF3D7_0528800",4.09703635248219,13.0089369349043,1.07313778256683,0.333362057191086,0.34848008389493,-7.05576318905625,"Stable"
"PF3D7_0916600",3.70884756691646,14.0051088852957,1.03374455976171,0.349717737514838,0.36411435106605,-7.09639451495652,"Stable"
"PF3D7_0931100",3.56777701976074,13.4672700060779,1.01658049355462,0.357053558797729,0.37132754458633,-7.11379460708189,"Stable"
"PF3D7_1359000",3.49819432981528,13.5722578887302,1.04295082365514,0.345835638744276,0.360484658359088,-7.08698481536302,"Stable"
"PF3D7_0809100",3.34283129658862,13.9666308003707,1.13592177372744,0.308654206928724,0.323394310021407,-6.98909992708038,"Stable"
"PF3D7_1010200",3.20003358038617,13.1357116989548,1.17380819329936,0.294533355797502,0.30913270369294,-6.94780773446743,"Stable"
"PF3D7_0703700",2.77488033512602,14.5141438483676,0.994411359160671,0.366718627357156,0.380509755223579,-7.13598706377126,"Stable"
"PF3D7_1412900",2.73278584870451,12.9298702006217,0.858347540322871,0.430813186554759,0.445744779952396,-7.26474517218945,"Stable"
"PF3D7_1225700",2.63866063314743,14.1439015596851,0.644542016193762,0.548278601866952,0.562804585118219,-7.43752842339134,"Stable"
"PF3D7_1103400",2.60142974995484,9.67251550713277,0.575594315849917,0.590398602465908,0.605358026514876,-7.48450077284081,"Stable"
"PF3D7_1213900",2.45739319201021,12.2127967673528,0.818475422758041,0.4511698351792,0.465748452302337,-7.29986566798661,"Stable"
"PF3D7_1432900",2.37253501688896,5.65367226574647,2.54786881240198,0.0525441041293663,0.060673946493073,-5.19804809735179,"Stable"
"PF3D7_1022000",2.36940528444339,14.8245067058643,12.5115584502197,0.0000678179572523641,0.000131940705295465,2.42014046965442,"Up"
"PF3D7_1038800",2.30843982608386,14.7383341602737,11.3363361687836,0.000108275657572185,0.000193874112526007,1.89271215132912,"Up"
"PF3D7_1118100",2.18388847643963,12.638207221854,0.667875281487271,0.534479271601865,0.549569030822697,-7.42061516022823,"Stable"
"PF3D7_0418300",2.16239004548069,15.5235907884604,2.94337045198189,0.0330745042856914,0.0394424834998323,-4.68683562732761,"Up"
"PF3D7_1448600",1.7784521585017,11.008216750947,0.334864035199715,0.75163385974159,0.763797577337855,-7.61054029085122,"Stable"
"PF3D7_1113800",1.75033926003958,3.73268721361625,2.32911861954312,0.0685354384319243,0.0778073774217794,-5.48637878081631,"Stable"
"PF3D7_0529300",1.68498295726211,5.02343848010577,2.65242125138557,0.0463862696050725,0.0540060486390631,-5.06139798556438,"Stable"
"PF3D7_0404600",1.60172671627577,4.03214101087187,1.76210230189436,0.139759426186694,0.151219200882929,-6.23337465734395,"Stable"
"PF3D7_1233900",1.51081436637547,4.2584031364215,2.33127894081367,0.0683537580023478,0.0776495279614942,-5.48352000624117,"Stable"
"PF3D7_1134700",1.37202793096738,3.9985259215955,1.90024428397431,0.11722286979628,0.12905855253871,-6.05338193049337,"Stable"
"PF3D7_0603400",1.18704038409182,4.54867906173795,1.87419380871684,0.121166827919857,0.133078886394487,-6.08750572342269,"Stable"
"PF3D7_1473700",0.921571898782879,18.1546276466133,3.60274125622871,0.0161462573376613,0.0202634973203867,-3.8787407216949,"Stable"
